PART_NUMBER,PART_SEG,PART_DESCRIPTION,PART_CATEGORY
PAN-PA-200-WF-5YR-HA2-R,PALO,"WildFire subscription 5-year prepaid renewal for device in HA pair, PA-200",
PAN-PA-220-WF,PALO,"WildFire subscription year 1, PA-220",
PAN-PA-220-WF-R,PALO,"WildFire subscription renewal, PA-220",
PAN-PA-220-WF-3YR,PALO,"WildFire subscription 3-year prepaid, PA-220",
PAN-PA-220-WF-3YR-R,PALO,"WildFire subscription 3-year prepaid renewal, PA-220",
PAN-PA-220-WF-5YR,PALO,"WildFire subscription 5-year prepaid, PA-220",
PAN-PA-220-WF-5YR-R,PALO,"WildFire subscription 5-year prepaid renewal, PA-220",
PAN-PA-220-WF-HA2,PALO,"WildFire subscription year 1 for device in HA pair, PA-220",
PAN-PA-220-WF-HA2-R,PALO,"WildFire subscription renewal for device in HA pair, PA-220",
PAN-PA-220-WF-3YR-HA2,PALO,"WildFire subscription 3-year prepaid for device in an HA pair, PA-220",
PAN-PA-220-WF-3YR-HA2-R,PALO,"WildFire subscription 3-year prepaid renewal for device in HA pair, PA-220",
PAN-PA-220-WF-5YR-HA2,PALO,"WildFire subscription 5-year prepaid for device in HA pair, PA-220",
PAN-PA-220-WF-5YR-HA2-R,PALO,"WildFire subscription 5-year prepaid renewal for device in HA pair, PA-220",
PAN-PA-500-WF,PALO,"WildFire subscription year 1, PA-500",
PAN-PA-500-WF-R,PALO,"WildFire subscription renewal, PA-500",
PAN-PA-500-WF-3YR,PALO,"WildFire subscription 3-year prepaid, PA-500",
PAN-PA-500-WF-3YR-R,PALO,"WildFire subscription 3-year prepaid renewal, PA-500",
PAN-PA-500-WF-5YR,PALO,"WildFire subscription 5-year prepaid, PA-500",
PAN-PA-500-WF-5YR-R,PALO,"WildFire subscription 5-year prepaid renewal, PA-500",
PAN-PA-500-WF-HA2,PALO,"WildFire subscription for device in an HA pair year 1, PA-500",
PAN-PA-500-WF-HA2-R,PALO,"WildFire subscription for device in an HA pair renewal, PA-500",
PAN-PA-500-WF-3YR-HA2,PALO,"WildFire subscription 3 year prepaid for device in an HA pair, PA-500",
PAN-PA-500-WF-3YR-HA2-R,PALO,"WildFire subscription 3 year prepaid renewal for device in an HA pair, PA-500",
PAN-PA-500-WF-5YR-HA2,PALO,"WildFire subscription 5 year prepaid for device in an HA pair year 1, PA-500",
PAN-PA-500-WF-5YR-HA2-R,PALO,"WildFire subscription 5 year prepaid renewal for device in an HA pair year 1, PA-500",
PAN-PA-820-WF,PALO,"WildFire subscription year 1, PA-820",
PAN-PA-820-WF-R,PALO,"WildFire subscription renewal, PA-820",
PAN-PA-820-WF-3YR,PALO,"WildFire subscription 3-year prepaid, PA-820",
PAN-PA-820-WF-3YR-R,PALO,"WildFire subscription renewal 3-year prepaid, PA-820",
PAN-PA-820-WF-5YR,PALO,"WildFire subscription 5-year prepaid, PA-820",
PAN-PA-820-WF-5YR-R,PALO,"WildFire subscription renewal 5-year prepaid, PA-820",
PAN-PA-820-WF-HA2,PALO,"WildFire subscription for devices in HA pair, PA-820",
PAN-PA-820-WF-HA2-R,PALO,"WildFire subscription renewal for devices in HA pair, PA-820",
PAN-PA-820-WF-3YR-HA2,PALO,"WildFire subscription 3-year prepaid for device in an HA pair, PA-820",
PAN-PA-820-WF-3YR-HA2-R,PALO,"WildFire subscription 3-year prepaid renewal for device in an HA pair, PA-820",
PAN-PA-820-WF-5YR-HA2,PALO,"WildFire subscription 5-year prepaid for device in an HA pair, PA-820",
PAN-PA-820-WF-5YR-HA2-R,PALO,"WildFire subscription renewal 5-year prepaid for device in an HA pair, PA-820",
PAN-PA-850-WF,PALO,"WildFire subscription year 1, PA-850",
PAN-PA-850-WF-R,PALO,"WildFire subscription renewal year 1, PA-850",
PAN-PA-850-WF-3YR,PALO,"WildFire subscription 3-year prepaid, PA-850",
PAN-PA-850-WF-3YR-R,PALO,"WildFire subscription 3-year prepaid renewal, PA-850",
PAN-PA-850-WF-5YR,PALO,"WildFire subscription 5-year prepaid, PA-850",
PAN-PA-850-WF-5YR-R,PALO,"WildFire subscription 5-year prepaid renewal, PA-850",
PAN-PA-850-WF-HA2,PALO,"WildFire subscription for device in an HA pair year 1, PA-850",
PAN-PA-850-WF-HA2-R,PALO,"WildFire subscription for device in an HA pair renewal, PA-850",
PAN-PA-850-WF-3YR-HA2,PALO,"WildFire subscription 3-year prepaid for device in an HA pair, PA-850",
PAN-PA-850-WF-3YR-HA2-R,PALO,"WildFire subscription 3-year prepaid renewal for device in an HA pair, PA-850",
PAN-PA-850-WF-5YR-HA2,PALO,"WildFire subscription 5-year prepaid for device in an HA pair, PA-850",
PAN-PA-850-WF-5YR-HA2-R,PALO,"WildFire subscription 5-year prepaid renewal for device in an HA pair, PA-850",
PAN-PA-2020-WF,PALO,"WildFire subscription year 1, PA-2020",
PAN-PA-2020-WF-R,PALO,"WildFire subscription renewal, PA-2020",
PAN-PA-2020-WF-HA2,PALO,"WildFire subscription for device in an HA pair year 1, PA-2020",
PAN-PA-2020-WF-HA2-R,PALO,"WildFire subscription for device in an HA pair renewal, PA-2020",
PAN-PA-2050-WF,PALO,"WildFire subscription year 1, PA-2050",
PAN-PA-2050-WF-R,PALO,"WildFire subscription renewal, PA-2050",
PAN-PA-2050-WF-HA2,PALO,"WildFire subscription for device in an HA pair year 1, PA-2050",
PAN-PA-2050-WF-HA2-R,PALO,"WildFire subscription for device in an HA pair renewal, PA-2050",
PAN-PA-3020-WF,PALO,"WildFire subscription year 1, PA-3020",
PAN-PA-3020-WF-R,PALO,"WildFire subscription renewal, PA-3020",
PAN-PA-3020-WF-3YR,PALO,"WildFire subscription 3-year prepaid, PA-3020",
PAN-PA-3020-WF-3YR-R,PALO,"WildFire subscription renewal 3-year prepaid, PA-3020",
PAN-PA-3020-WF-5YR,PALO,"WildFire subscription 5-year prepaid, PA-3020",
PAN-PA-3020-WF-5YR-R,PALO,"WildFire subscription renewal 5-year prepaid, PA-3020",
PAN-PA-3020-WF-HA2,PALO,"WildFire subscription for devices in HA pair, PA-3020",
PAN-PA-3020-WF-HA2-R,PALO,"WildFire subscription renewal for devices in HA pair, PA-3020",
PAN-PA-3020-WF-3YR-HA2,PALO,"WildFire subscription 3-year prepaid for device in an HA pair, PA-3020",
PAN-PA-3020-WF-3YR-HA2-R,PALO,"WildFire subscription 3-year prepaid renewal for device in an HA pair, PA-3020",
PAN-PA-3020-WF-5YR-HA2,PALO,"WildFire subscription 5-year prepaid for device in an HA pair, PA-3020",
PAN-PA-3020-WF-5YR-HA2-R,PALO,"WildFire subscription renewal 5-year prepaid for device in an HA pair, PA-3020",
PAN-PA-3050-WF,PALO,"WildFire subscription year 1, PA-3050",
PAN-PA-3050-WF-R,PALO,"WildFire subscription renewal year 1, PA-3050",
PAN-PA-3050-WF-3YR,PALO,"WildFire subscription 3-year prepaid, PA-3050",
PAN-PA-3050-WF-3YR-R,PALO,"WildFire subscription 3-year prepaid renewal, PA-3050",
PAN-PA-3050-WF-5YR,PALO,"WildFire subscription 5-year prepaid, PA-3050",
PAN-PA-3050-WF-5YR-R,PALO,"WildFire subscription 5-year prepaid renewal, PA-3050",
PAN-PA-3050-WF-HA2,PALO,"WildFire subscription for device in an HA pair year 1, PA-3050",
PAN-PA-3050-WF-HA2-R,PALO,"WildFire subscription for device in an HA pair renewal, PA-3050",
PAN-PA-3050-WF-3YR-HA2,PALO,"WildFire subscription 3-year prepaid for device in an HA pair, PA-3050",
PAN-PA-3050-WF-3YR-HA2-R,PALO,"WildFire subscription 3-year prepaid renewal for device in an HA pair, PA-3050",
,PALO,,
PAN-PA-3050-WF-5YR-HA2,PALO,"WildFire subscription 5-year prepaid for device in an HA pair, PA-3050",
PAN-PA-3050-WF-5YR-HA2-R,PALO,"WildFire subscription 5-year prepaid renewal for device in an HA pair, PA-3050",
PAN-PA-3060-WF,PALO,"WildFire subscription year 1, PA-3060",
PAN-PA-3060-WF-R,PALO,"WildFire subscription renewal year 1, PA-3060",
PAN-PA-3060-WF-3YR,PALO,"WildFire subscription 3-year prepaid, PA-3060",
PAN-PA-3060-WF-3YR-R,PALO,"WildFire subscription 3-year prepaid renewal, PA-3060",
PAN-PA-3060-WF-5YR,PALO,"WildFire subscription 5-year prepaid, PA-3060",
PAN-PA-3060-WF-5YR-R,PALO,"WildFire subscription 5-year prepaid renewal, PA-3060",
PAN-PA-3060-WF-HA2,PALO,"WildFire subscription for device in an HA pair year 1, PA-3060",
PAN-PA-3060-WF-HA2-R,PALO,"WildFire subscription for device in an HA pair renewal, PA-3060",
PAN-PA-3060-WF-3YR-HA2,PALO,"WildFire subscription 3-year prepaid for device in an HA pair, PA-3060",
PAN-PA-3060-WF-3YR-HA2-R,PALO,"WildFire subscription 3-year prepaid renewal for device in an HA pair, PA-3060",
PAN-PA-3060-WF-5YR-HA2,PALO,"WildFire subscription 5-year prepaid for device in an HA pair, PA-3060",
PAN-PA-3060-WF-5YR-HA2-R,PALO,"WildFire subscription 5-year prepaid renewal for device in an HA pair, PA-3060",
PAN-PA-4020-WF,PALO,"WildFire subscription year 1, PA-4020",
PAN-PA-4020-WF-R,PALO,"WildFire subscription renewal, PA-4020",
PAN-PA-4020-WF-HA2,PALO,"WildFire subscription for device in an HA pair year 1, PA-4020",
PAN-PA-4020-WF-HA2-R,PALO,"WildFire subscription for device in an HA pair renewal, PA-4020",
PAN-PA-4050-WF,PALO,"WildFire subscription year 1, PA-4050",
PAN-PA-4050-WF-R,PALO,"WildFire subscription renewal, PA-4050",
PAN-PA-4050-WF-HA2,PALO,"WildFire subscription for device in an HA pair year 1, PA-4050",
PAN-PA-4050-WF-HA2-R,PALO,"WildFire subscription for device in an HA pair renewal, PA-4050",
PAN-PA-4060-WF,PALO,"WildFire subscription year 1, PA-4060",
PAN-PA-4060-WF-R,PALO,"WildFire subscription renewal, PA-4060",
PAN-PA-4060-WF-HA2,PALO,"WildFire subscription for device in an HA pair year 1, PA-4060",
PAN-PA-4060-WF-HA2-R,PALO,"WildFire subscription for device in an HA pair renewal, PA-4060",
PAN-PA-5020-WF,PALO,"WildFire subscription year 1, PA-5020",
PAN-PA-5020-WF-R,PALO,"WildFire subscription renewal, PA-5020",
PAN-PA-5020-WF-3YR,PALO,"WildFire subscription 3-year prepaid, PA-5020",
PAN-PA-5020-WF-3YR-R,PALO,"WildFire subscription 3-year prepaid renewal, PA-5020",
PAN-PA-5020-WF-5YR,PALO,"WildFire subscription 5-year prepaid, PA-5020",
PAN-PA-5020-WF-5YR-R,PALO,"WildFire subscription 5-year prepaid renewal, PA-5020",
PAN-PA-5020-WF-HA2,PALO,"WildFire subscription for device in an HA pair year 1, PA-5020",
PAN-PA-5020-WF-HA2-R,PALO,"WildFire subscription for device in an HA pair renewal, PA-5020",
PAN-PA-5020-WF-3YR-HA2,PALO,"WildFire subscription 3 year prepaid for device in an HA pair, PA-5020",
PAN-PA-5020-WF-3YR-HA2-R,PALO,"WildFire subscription 3 year prepaid renewal for device in an HA pair, PA-5020",
PAN-PA-5020-WF-5YR-HA2,PALO,"WildFire subscription 5 year prepaid for device in an HA pair year 1, PA-5020",
PAN-PA-5020-WF-5YR-HA2-R,PALO,"WildFire subscription 5 year prepaid renewal for device in an HA pair year 1, PA-5020",
PAN-PA-5050-WF,PALO,"WildFire subscription year 1, PA-5050",
PAN-PA-5050-WF-R,PALO,"WildFire subscription renewal, PA-5050",
PAN-PA-5050-WF-3YR,PALO,"WildFire subscription 3-year prepaid, PA-5050",
PAN-PA-5050-WF-3YR-R,PALO,"WildFire subscription 3-year prepaid renewal, PA-5050",
PAN-PA-5050-WF-5YR,PALO,"WildFire subscription 5-year prepaid, PA-5050",
PAN-PA-5050-WF-5YR-R,PALO,"WildFire subscription 5-year prepaid renewal, PA-5050",
PAN-PA-5050-WF-HA2,PALO,"WildFire subscription for device in an HA pair year 1, PA-5050",
PAN-PA-5050-WF-HA2-R,PALO,"WildFire subscription for device in an HA pair renewal, PA-5050",
PAN-PA-5050-WF-3YR-HA2,PALO,"WildFire subscription 3 year prepaid for device in an HA pair, PA-5050",
PAN-PA-5050-WF-3YR-HA2-R,PALO,"WildFire subscription 3 year prepaid renewal for device in an HA pair, PA-5050",
PAN-PA-5050-WF-5YR-HA2,PALO,"WildFire subscription 5 year prepaid for device in an HA pair year 1, PA-5050",
PAN-PA-5050-WF-5YR-HA2-R,PALO,"WildFire subscription 5 year prepaid renewal for device in an HA pair year 1, PA-5050",
PAN-PA-5060-WF,PALO,"WildFire subscription year 1, PA-5060",
PAN-PA-5060-WF-R,PALO,"WildFire subscription renewal, PA-5060",
PAN-PA-5060-WF-3YR,PALO,"WildFire subscription 3-year prepaid, PA-5060",
PAN-PA-5060-WF-3YR-R,PALO,"WildFire subscription 3-year prepaid renewal, PA-5060",
PAN-PA-5060-WF-5YR,PALO,"WildFire subscription 5-year prepaid, PA-5060",
PAN-PA-5060-WF-5YR-R,PALO,"WildFire subscription 5-year prepaid renewal, PA-5060",
PAN-PA-5060-WF-HA2,PALO,"WildFire subscription for device in an HA pair year 1, PA-5060",
PAN-PA-5060-WF-HA2-R,PALO,"WildFire subscription for device in an HA pair renewal, PA-5060",
PAN-PA-5060-WF-3YR-HA2,PALO,"WildFire subscription 3 year prepaid for device in an HA pair, PA-5060",
PAN-PA-5060-WF-3YR-HA2-R,PALO,"WildFire subscription 3 year prepaid renewal for device in an HA pair, PA-5060",
PAN-PA-5060-WF-5YR-HA2,PALO,"WildFire subscription 5 year prepaid for device in an HA pair year 1, PA-5060",
PAN-PA-5060-WF-5YR-HA2-R,PALO,"WildFire subscription 5 year prepaid renewal for device in an HA pair year 1, PA-5060",
PAN-PA-5220-WF,PALO,"WildFire subscription year 1, PA-5220",
PAN-PA-5220-WF-R,PALO,"WildFire subscription renewal, PA-5220",
PAN-PA-5220-WF-3YR,PALO,"WildFire subscription 3-year prepaid, PA-5220",
PAN-PA-5220-WF-3YR-R,PALO,"WildFire subscription 3-year prepaid renewal, PA-5220",
PAN-PA-5220-WF-5YR,PALO,"WildFire subscription 5-year prepaid, PA-5220",
PAN-PA-5220-WF-5YR-R,PALO,"WildFire subscription 5-year prepaid renewal, PA-5220",
PAN-PA-5220-WF-HA2,PALO,"WildFire subscription for device in an HA pair year 1, PA-5220",
PAN-PA-5220-WF-HA2-R,PALO,"WildFire subscription for device in an HA pair renewal, PA-5220",
PAN-PA-5220-WF-3YR-HA2,PALO,"WildFire subscription 3 year prepaid for device in an HA pair, PA-5220",
PAN-PA-5220-WF-3YR-HA2-R,PALO,"WildFire subscription 3 year prepaid renewal for device in an HA pair, PA-5220",
PAN-PA-5220-WF-5YR-HA2,PALO,"WildFire subscription 5 year prepaid for device in an HA pair, PA-5220",
PAN-PA-5220-WF-5YR-HA2-R,PALO,"WildFire subscription 5 year prepaid renewal for device in an HA pair, PA-5220",
PAN-PA-5250-WF,PALO,"WildFire subscription year 1, PA-5250",
PAN-PA-5250-WF-R,PALO,"WildFire subscription renewal, PA-5250",
PAN-PA-5250-WF-3YR,PALO,"WildFire subscription 3-year prepaid, PA-5250",
PAN-PA-5250-WF-3YR-R,PALO,"WildFire subscription 3-year prepaid renewal, PA-5250",
PAN-PA-5250-WF-5YR,PALO,"WildFire subscription 5-year prepaid, PA-5250",
PAN-PA-5250-WF-5YR-R,PALO,"WildFire subscription 5-year prepaid renewal, PA-5250",
PAN-PA-5250-WF-HA2,PALO,"WildFire subscription for device in an HA pair year 1, PA-5250",
PAN-PA-5250-WF-HA2-R,PALO,"WildFire subscription for device in an HA pair renewal, PA-5250",
PAN-PA-5250-WF-3YR-HA2,PALO,"WildFire subscription 3 year prepaid for device in an HA pair, PA-5250",
PAN-PA-5250-WF-3YR-HA2-R,PALO,"WildFire subscription 3 year prepaid renewal for device in an HA pair, PA-5250",
PAN-PA-5250-WF-5YR-HA2,PALO,"WildFire subscription 5 year prepaid for device in an HA pair, PA-5250",
PAN-PA-5250-WF-5YR-HA2-R,PALO,"WildFire subscription 5 year prepaid renewal for device in an HA pair, PA-5250",
PAN-PA-5260-WF,PALO,"WildFire subscription year 1, PA-5260",
PAN-PA-5260-WF-R,PALO,"WildFire subscription renewal, PA-5260",
PAN-PA-5260-WF-3YR,PALO,"WildFire subscription 3-year prepaid, PA-5260",
PAN-PA-5260-WF-3YR-R,PALO,"WildFire subscription 3-year prepaid renewal, PA-5260",
PAN-PA-5260-WF-5YR,PALO,"WildFire subscription 5-year prepaid, PA-5260",
PAN-PA-5260-WF-5YR-R,PALO,"WildFire subscription 5-year prepaid renewal, PA-5260",
PAN-PA-5260-WF-HA2,PALO,"WildFire subscription for device in an HA pair year 1, PA-5260",
PAN-PA-5260-WF-HA2-R,PALO,"WildFire subscription for device in an HA pair renewal, PA-5260",
PAN-PA-5260-WF-3YR-HA2,PALO,"WildFire subscription 3 year prepaid for device in an HA pair, PA-5260",
PAN-PA-5260-WF-3YR-HA2-R,PALO,"WildFire subscription 3 year prepaid renewal for device in an HA pair, PA-5260",
,PALO,,
PAN-PA-5260-WF-5YR-HA2,PALO,"WildFire subscription 5 year prepaid for device in an HA pair, PA-5260",
PAN-PA-5260-WF-5YR-HA2-R,PALO,"WildFire subscription 5 year prepaid renewal for device in an HA pair, PA-5260",
PAN-PA-7050-WF,PALO,"WildFire subscription year 1, PA-7050",
PAN-PA-7050-WF-R,PALO,"WildFire subscription renewal year 1, PA-7050",
PAN-PA-7050-WF-3YR,PALO,"WildFire subscription 3-year prepaid, PA-7050",
PAN-PA-7050-WF-3YR-R,PALO,"WildFire subscription 3-year prepaid renewal, PA-7050",
PAN-PA-7050-WF-5YR,PALO,"WildFire subscription 5-year prepaid, PA-7050",
PAN-PA-7050-WF-5YR-R,PALO,"WildFire subscription 5-year prepaid renewal, PA-7050",
PAN-PA-7050-WF-HA2,PALO,"WildFire subscription for device in an HA pair year 1, PA-7050",
PAN-PA-7050-WF-HA2-R,PALO,"WildFire subscription for device in an HA pair renewal, PA-7050",
PAN-PA-7050-WF-3YR-HA2,PALO,"WildFire subscription 3-year prepaid for device in an HA pair, PA-7050",
PAN-PA-7050-WF-3YR-HA2-R,PALO,"WildFire subscription 3-year prepaid renewal for device in an HA pair, PA-7050",
PAN-PA-7050-WF-5YR-HA2,PALO,"WildFire subscription 5-year prepaid for device in an HA pair, PA-7050",
PAN-PA-7050-WF-5YR-HA2-R,PALO,"WildFire subscription 5-year prepaid renewal for device in an HA pair, PA-7050",
PAN-PA-7080-WF,PALO,"WildFire subscription year 1, PA-7080",
PAN-PA-7080-WF-R,PALO,"WildFire subscription renewal year 1, PA-7080",
PAN-PA-7080-WF-3YR,PALO,"WildFire subscription 3-year prepaid, PA-7080",
PAN-PA-7080-WF-3YR-R,PALO,"WildFire subscription 3-year prepaid renewal, PA-7080",
PAN-PA-7080-WF-5YR,PALO,"WildFire subscription 5-year prepaid, PA-7080",
PAN-PA-7080-WF-5YR-R,PALO,"WildFire subscription 5-year prepaid renewal, PA-7080",
PAN-PA-7080-WF-HA2,PALO,"WildFire subscription for device in an HA pair year 1, PA-7080",
PAN-PA-7080-WF-HA2-R,PALO,"WildFire subscription for device in an HA pair renewal, PA-7080",
PAN-PA-7080-WF-3YR-HA2,PALO,"WildFire subscription 3-year prepaid for device in an HA pair, PA-7080",
PAN-PA-7080-WF-3YR-HA2-R,PALO,"WildFire subscription 3-year prepaid renewal for device in an HA pair, PA-7080",
PAN-PA-7080-WF-5YR-HA2,PALO,"WildFire subscription 5-year prepaid for device in an HA pair, PA-7080",
PAN-PA-7080-WF-5YR-HA2-R,PALO,"WildFire subscription 5-year prepaid renewal for device in an HA pair, PA-7080",
PAN-VM-100-WF,PALO,"WildFire subscription, VM-100",
PAN-VM-100-WF-R,PALO,"WildFire subscription renewal, VM-100",
PAN-VM-100-WF-3YR,PALO,"WildFire subscription 3 year, VM-100",
PAN-VM-100-WF-3YR-R,PALO,"WildFire subscription 3 year renewal, VM-100",
PAN-VM-100-WF-5YR,PALO,"WildFire subscription 5 year, VM-100",
PAN-VM-100-WF-5YR-R,PALO,"WildFire subscription 5 year renewal, VM-100",
PAN-VM-100-WF-HA2,PALO,"WildFire subscription for device in an HA pair, VM-100",
PAN-VM-100-WF-HA2-R,PALO,"WildFire subscription for device in an HA pair renewal, VM-100",
PAN-VM-100-WF-3YR-HA2,PALO,"WildFire subscription for device in an HA pair, 3 year, VM-100",
PAN-VM-100-WF-3YR-HA2-R,PALO,"WildFire subscription for device in an HA pair 3 year renewal, VM-100",
PAN-VM-100-WF-5YR-HA2,PALO,"WildFire subscription for device in an HA pair, 5 year, VM-100",
PAN-VM-100-WF-5YR-HA2-R,PALO,"WildFire subscription for device in an HA pair 5 year renewal, VM-100",
PAN-VM-100-ENT-WF,PALO,"WildFire subscription, VM-100 Enterprise",
PAN-VM-100-ENT-WF-R,PALO,"WildFire subscription renewal, VM-100 Enterprise",
PAN-VM-100-ENT-WF-3YR,PALO,"WildFire subscription 3 year, VM-100 Enterprise",
PAN-VM-100-ENT-WF-3YR-R,PALO,"WildFire subscription 3 year renewal, VM-100 Enterprise",
PAN-VM-100-ENT-WF-5YR,PALO,"WildFire subscription 5 year, VM-100 Enterprise",
PAN-VM-100-ENT-WF-5YR-R,PALO,"WildFire subscription 5 year renewal, VM-100 Enterprise",
PAN-VM-100-ENT-WF-HA2,PALO,"WildFire subscription for device in an HA pair, VM-100 Enterprise",
PAN-VM-100-ENT-WF-HA2-R,PALO,"WildFire subscription for device in an HA pair renewal, VM-100 Enterprise",
PAN-VM-100-ENT-WF-3YR-HA2,PALO,"WildFire subscription for device in an HA pair, 3 year, VM-100 Enterprise",
PAN-VM-100-ENT-WF-3YR-HA2-R,PALO,"WildFire subscription for device in an HA pair 3 year renewal, VM-100 Enterprise",
PAN-VM-100-ENT-WF-5YR-HA2,PALO,"WildFire subscription for device in an HA pair, 5 year, VM-100 Enterprise",
PAN-VM-100-ENT-WF-5YR-HA2-R,PALO,"WildFire subscription for device in an HA pair 5 year renewal, VM-100 Enterprise",
PAN-VM-200-WF,PALO,"WildFire subscription, VM-200",
PAN-VM-200-WF-R,PALO,"WildFire subscription renewal, VM-200",
PAN-VM-200-WF-3YR,PALO,"WildFire subscription 3 year, VM-200",
PAN-VM-200-WF-3YR-R,PALO,"WildFire subscription 3 year renewal, VM-200",
PAN-VM-200-WF-5YR,PALO,"WildFire subscription 5 year, VM-200",
PAN-VM-200-WF-5YR-R,PALO,"WildFire subscription 5 year renewal, VM-200",
PAN-VM-200-WF-HA2,PALO,"WildFire subscription for device in an HA pair, VM-200",
PAN-VM-200-WF-HA2-R,PALO,"WildFire subscription for device in an HA pair renewal, VM-200",
PAN-VM-200-WF-3YR-HA2,PALO,"WildFire subscription for device in an HA pair, 3 year, VM-200",
PAN-VM-200-WF-3YR-HA2-R,PALO,"WildFire subscription for device in an HA pair 3 year renewal, VM-200",
PAN-VM-200-WF-5YR-HA2,PALO,"WildFire subscription for device in an HA pair, 5 year, VM-200",
PAN-VM-200-WF-5YR-HA2-R,PALO,"WildFire subscription for device in an HA pair 5 year renewal, VM-200",
PAN-VM-200-ENT-WF,PALO,"WildFire subscription, VM-200",
PAN-VM-200-ENT-WF-R,PALO,"WildFire subscription renewal, VM-200",
PAN-VM-200-ENT-WF-3YR,PALO,"WildFire subscription 3 year, VM-200",
PAN-VM-200-ENT-WF-3YR-R,PALO,"WildFire subscription 3 year renewal, VM-200",
PAN-VM-200-ENT-WF-5YR,PALO,"WildFire subscription 5 year, VM-200",
PAN-VM-200-ENT-WF-5YR-R,PALO,"WildFire subscription 5 year renewal, VM-200",
PAN-VM-200-ENT-WF-HA2,PALO,"WildFire subscription for device in an HA pair, VM-200",
PAN-VM-200-ENT-WF-HA2-R,PALO,"WildFire subscription for device in an HA pair renewal, VM-200",
PAN-VM-200-ENT-WF-3YR-HA2,PALO,"WildFire subscription for device in an HA pair, 3 year, VM-200",
PAN-VM-200-ENT-WF-3YR-HA2-R,PALO,"WildFire subscription for device in an HA pair 3 year renewal, VM-200",
PAN-VM-200-ENT-WF-5YR-HA2,PALO,"WildFire subscription for device in an HA pair, 5 year, VM-200",
PAN-VM-200-ENT-WF-5YR-HA2-R,PALO,"WildFire subscription for device in an HA pair 5 year renewal, VM-200",
PAN-VM-300-WF,PALO,"WildFire subscription, VM-300",
PAN-VM-300-WF-R,PALO,"WildFire subscription renewal, VM-300",
PAN-VM-300-WF-3YR,PALO,"WildFire subscription 3 year, VM-300",
PAN-VM-300-WF-3YR-R,PALO,"WildFire subscription 3 year renewal, VM-300",
PAN-VM-300-WF-5YR,PALO,"WildFire subscription 5 year, VM-300",
PAN-VM-300-WF-5YR-R,PALO,"WildFire subscription 5 year renewal, VM-300",
PAN-VM-300-WF-HA2,PALO,"WildFire subscription for device in an HA pair, VM-300",
PAN-VM-300-WF-HA2-R,PALO,"WildFire subscription for device in an HA pair renewal, VM-300",
PAN-VM-300-WF-3YR-HA2,PALO,"WildFire subscription for device in an HA pair, 3 year, VM-300",
PAN-VM-300-WF-3YR-HA2-R,PALO,"WildFire subscription for device in an HA pair 3 year renewal, VM-300",
PAN-VM-300-WF-5YR-HA2,PALO,"WildFire subscription for device in an HA pair, 5 year, VM-300",
PAN-VM-300-WF-5YR-HA2-R,PALO,"WildFire subscription for device in an HA pair 5 year renewal, VM-300",
PAN-VM-300-ENT-WF,PALO,"WildFire subscription, VM-300",
PAN-VM-300-ENT-WF-R,PALO,"WildFire subscription renewal, VM-300",
PAN-VM-300-ENT-WF-3YR,PALO,"WildFire subscription 3 year, VM-300",
PAN-VM-300-ENT-WF-3YR-R,PALO,"WildFire subscription 3 year renewal, VM-300",
PAN-VM-300-ENT-WF-5YR,PALO,"WildFire subscription 5 year, VM-300",
PAN-VM-300-ENT-WF-5YR-R,PALO,"WildFire subscription 5 year renewal, VM-300",
PAN-VM-300-ENT-WF-HA2,PALO,"WildFire subscription for device in an HA pair, VM-300",
PAN-VM-300-ENT-WF-HA2-R,PALO,"WildFire subscription for device in an HA pair renewal, VM-300",
PAN-VM-300-ENT-WF-3YR-HA2,PALO,"WildFire subscription for device in an HA pair, 3 year, VM-300",
PAN-VM-300-ENT-WF-3YR-HA2-R,PALO,"WildFire subscription for device in an HA pair 3 year renewal, VM-300",
,PALO,,
PAN-VM-300-ENT-WF-5YR-HA2,PALO,"WildFire subscription for device in an HA pair, 5 year, VM-300",
PAN-VM-300-ENT-WF-5YR-HA2-R,PALO,"WildFire subscription for device in an HA pair 5 year renewal, VM-300",
PAN-VM-1000-HV-WF,PALO,"WildFire subscription, VM-1000-HV",
PAN-VM-1000-HV-WF-R,PALO,"WildFire subscription renewal, VM-1000-HV",
PAN-VM-1000-HV-WF-3YR,PALO,"WildFire subscription 3 year, VM-1000-HV",
PAN-VM-1000-HV-WF-3YR-R,PALO,"WildFire subscription 3 year renewal, VM-1000-HV",
PAN-VM-1000-HV-WF-5YR,PALO,"WildFire subscription 5 year, VM-1000-HV",
PAN-VM-1000-HV-WF-5YR-R,PALO,"WildFire subscription 5 year renewal, VM-1000-HV",
PAN-VM-1000-HV-WF-HA2,PALO,"WildFire subscription for device in an HA pair, VM-1000-HV",
PAN-VM-1000-HV-WF-HA2-R,PALO,"WildFire subscription for device in an HA pair renewal, VM-1000-HV",
PAN-VM-1000-HV-WF-3YR-HA2,PALO,"WildFire subscription for device in an HA pair, 3 year, VM-1000-HV",
PAN-VM-1000-HV-WF-3YR-HA2-R,PALO,"WildFire subscription for device in an HA pair 3 year renewal, VM-1000-HV",
PAN-VM-1000-HV-WF-5YR-HA2,PALO,"WildFire subscription for device in an HA pair, 5 year, VM-1000-HV",
